N_Ser,N_Par,Irradiation,Temperature,Current,Voltage,Label
9,10,810,65,47.52043361,42.2607036,3
9,10,810,75,47.49451252,40.7007036,3
9,10,810,85,47.47884772,39.12,3
9,10,910,5,52.69054055,52.26,3
9,10,910,15,52.85579128,50.61,3
9,10,910,25,52.97071299,48.99841561,3
9,10,910,35,53.06981448,47.3907036,3
9,10,910,45,53.13688315,45.8007036,3
9,10,910,55,53.18020042,44.22,3
9,10,910,65,53.19635597,42.6507036,3
9,10,910,75,53.13638025,41.13,3
9,10,910,85,53.08402188,39.5907036,3
9,10,1010,5,58.35870608,52.48446125,3
9,10,1010,15,58.50210649,50.88,3
9,10,1010,25,58.64224211,49.26841561,3
9,10,1010,35,58.72993026,47.6907036,3
9,10,1010,45,58.76003456,46.14786408,3
9,10,1010,55,58.80739804,44.58,3
9,10,1010,65,58.79018047,43.05,3
9,10,1010,75,58.72803499,41.5407036,3
9,10,1010,85,58.5916252,40.0707036,3
9,10,1110,5,63.98351002,52.71,3
9,10,1110,15,64.13576728,51.12,3
9,10,1110,25,64.23696879,49.56,3
9,10,1110,35,64.32165067,48.00168312,3
9,10,1110,45,64.35558078,46.47,3
9,10,1110,55,64.34182586,44.9607036,3
9,10,1110,65,64.29734413,43.4607036,3
9,10,1110,75,64.18998138,41.9907036,3
9,10,1110,85,64.05900925,40.52363988,3
9,10,10,5,0.5782028563,342.4589111,3
9,10,10,15,0.5800359943,324.57,3
9,10,10,25,0.5815135594,306.6,3
9,10,10,35,0.5825868637,288.57,3
9,10,10,45,0.583181687,270.51,3
9,10,10,55,0.5832785216,252.42,3
9,10,10,65,0.5827457147,234.3457685,3
9,10,10,75,0.5814267862,216.33,3
9,10,10,85,0.5791122187,198.42,3
9,10,110,5,6.379463157,379.11,3
9,10,110,15,6.404626836,362.64,3
9,10,110,25,6.427388013,346.05,3
9,10,110,35,6.447212221,329.37,3
9,10,110,45,6.463498827,312.63,3
9,10,110,55,6.476208419,295.83,3
9,10,110,65,6.484636447,279,3
9,10,110,75,6.487648713,262.1816591,3
9,10,110,85,6.484291992,245.4,3
9,10,210,5,12.17974313,388.29,3
9,10,210,15,12.23055421,372.15,3
9,10,210,25,12.27613966,355.92,3
9,10,210,35,12.31754972,339.57,3
9,10,210,45,12.35157058,323.19,3
9,10,210,55,12.38039272,306.72,3
9,10,210,65,12.40166414,290.22,3
9,10,210,75,12.41251391,273.75,3
9,10,210,85,12.41519662,257.25,3
9,10,310,5,17.97393169,393.45,3
9,10,310,15,18.05128078,377.49,3
9,10,310,25,18.12128568,361.44,3
9,10,310,35,18.18407563,345.2973952,3
9,10,310,45,18.23769363,329.1,3
9,10,310,55,18.28251957,312.84,3
9,10,310,65,18.31661047,296.55,3
9,10,310,75,18.33977267,280.23,3
9,10,310,85,18.34768491,263.94,3
9,10,410,5,23.76219545,396.87,3
9,10,410,15,23.86645355,381.03,3
9,10,410,25,23.95936829,365.13,3
9,10,410,35,24.04482578,349.11,3
9,10,410,45,24.11898039,333.03,3
9,10,410,55,24.18184769,316.89,3
9,10,410,65,24.23112749,300.72,3
9,10,410,75,24.26407343,284.55,3
9,10,410,85,24.27737741,268.41,3
9,10,510,5,29.54555131,399.3,3
9,10,510,15,29.67436964,383.58,3
9,10,510,25,29.79404267,367.74,3
9,10,510,35,29.89992391,351.84,3
9,10,510,45,29.99461706,335.85,3
9,10,510,55,30.07577092,319.8,3
9,10,510,65,30.13763623,303.75,3
9,10,510,75,30.18268085,287.67,3
9,10,510,85,30.20409307,271.62,3
9,10,610,5,35.31839245,401.16,3
9,10,610,15,35.47422022,385.5,3
9,10,610,25,35.61945638,369.72,3
9,10,610,35,35.74865446,353.88,3
9,10,610,45,35.86499152,337.95,3
9,10,610,55,35.9623983,321.99,3
9,10,610,65,36.04064762,306,3
9,10,610,75,36.09211094,290.04,3
9,10,610,85,36.12330081,274.05,3
9,10,710,5,41.08849671,402.54,3
9,10,710,15,41.27006219,386.94,3
9,10,710,25,41.4395307,371.22,3
9,10,710,35,41.59417731,355.41,3
9,10,710,45,41.72721823,339.57,3
9,10,710,55,41.84221977,323.67,3
9,10,710,65,41.93547382,307.74,3
9,10,710,75,41.99822488,291.84,3
9,10,710,85,42.0335159,275.94,3
9,10,810,5,46.84656012,403.65,3
9,10,810,15,47.05922237,388.05,3
9,10,810,25,47.25124089,372.39,3
9,10,810,35,47.43053762,356.61,3
9,10,810,45,47.58586472,340.8,3
9,10,810,55,47.71697316,324.96,3
9,10,810,65,47.8236885,309.09,3
9,10,810,75,47.89612227,293.25,3
9,10,810,85,47.9377923,277.41,3
9,10,910,5,52.60391828,404.46,3
9,10,910,15,52.83970329,388.92,3
9,10,910,25,53.06086062,373.26,3
9,10,910,35,53.25967121,357.54,3
9,10,910,45,53.43642355,341.76,3
9,10,910,55,53.58666921,325.95,3
9,10,910,65,53.70511643,310.14,3
9,10,910,75,53.79090746,294.33,3
9,10,910,85,53.83737151,278.55,3
9,10,1010,5,58.35165298,405.097776,3
9,10,1010,15,58.61414398,389.58,3
9,10,1010,25,58.85960527,373.95,3
9,10,1010,35,59.08070405,358.26,3
9,10,1010,45,59.28131283,342.4899852,3
9,10,1010,55,59.44619918,326.73,3
9,10,1010,65,59.57998361,310.95,3
9,10,1010,75,59.67228756,295.2,3
9,10,1010,85,59.72762718,279.45,3
9,10,1110,5,64.09339416,405.57,3
9,10,1110,15,64.38404364,390.06,3
9,10,1110,25,64.65275231,374.46,3
9,10,1110,35,64.90050958,358.77,3
9,10,1110,45,65.1172543,343.05,3
9,10,1110,55,65.29695092,327.33,3
9,10,1110,65,65.44500791,311.58,3
9,10,1110,75,65.5482362,295.86,3
9,10,1110,85,65.60466364,280.17,3
9,10,10,5,0.5818033419,219.21,3
9,10,10,15,0.5840318622,209.07,3
9,10,10,25,0.5859308672,198.99,3
9,10,10,35,0.5875998667,188.921731,3
9,10,10,45,0.5888659376,178.9043639,3
9,10,10,55,0.589768666,168.9,3
9,10,10,65,0.5901898185,158.91,3
9,10,10,75,0.5900013173,148.9218067,3
9,10,10,85,0.5889128781,138.9419763,3
9,10,110,5,6.411895811,241.59,3
9,10,110,15,6.438917194,232.26,3
